obsDate,date,next_date,SPRealIndex,SPRealValuation,SPValuationLevel,sp12fwd,sp36fwd,sp60fwd,sp84fwd,sp120fwd
19280131,1/31/1928,2/29/1928,165.9100633,908.6398655,fair,0.030484342,0.000190967,-0.009615237,-0.004177417,-0.00148279
19280229,2/29/1928,3/31/1928,165.9118598,912.4896492,fair,0.030946918,0.002601128,-0.011442934,-0.00462418,-0.001619317
19280331,3/31/1928,4/30/1928,174.9012431,981.1441252,fair,0.028520969,0.001855383,-0.012231116,-0.006026836,-0.002622814
19280430,4/30/1928,5/31/1928,185.9996333,1065.839367,expensive,0.023421107,-0.002439907,-0.011566606,-0.005979891,-0.003534752
19280531,5/31/1928,6/30/1928,190.7133519,1102.412312,expensive,0.022117533,-0.005573924,-0.007765589,-0.005372307,-0.003602449
19280630,6/30/1928,7/31/1928,182.5061391,1043.382295,expensive,0.026899926,-0.004875609,-0.004520194,-0.004313122,-0.003040162
19280731,7/31/1928,8/31/1928,183.9247793,1054.290015,expensive,0.032425143,-0.004166726,-0.003863553,-0.003792666,-0.001588518
19280831,8/31/1928,9/30/1928,189.954318,1097.920897,expensive,0.03437263,-0.00589193,-0.005372666,-0.003393413,-0.001805219
19280930,9/30/1928,10/31/1928,201.0314383,1177.483094,expensive,0.032932572,-0.011739738,-0.006451495,-0.003815006,-0.002660723
19281031,10/31/1928,11/30/1928,206.3923435,1214.697669,expensive,0.021453531,-0.016244096,-0.008589244,-0.003810007,-0.001935994
19281130,11/30/1928,12/31/1928,220.4185005,1313.508784,expensive,-0.009614787,-0.017297041,-0.009281535,-0.003606,-0.002474165
19281231,12/31/1928,1/31/1929,222.6582972,1325.058135,expensive,-0.006678596,-0.023134502,-0.009121269,-0.003722071,-0.002800987
19290131,1/31/1929,2/28/1929,239.1899389,1439.268385,expensive,-0.010925597,-0.024986317,-0.009381843,-0.003930649,-0.003520132
19290228,2/28/1929,3/31/1929,240.5239574,1442.476538,expensive,-0.005802723,-0.024957849,-0.008403427,-0.003328577,-0.003570217
19290331,3/31/1929,4/30/1929,246.2809883,1477.766222,expensive,-0.004164355,-0.025291846,-0.009667297,-0.003268677,-0.003770286
19290430,4/30/1929,5/31/1929,246.3610101,1470.708285,expensive,0.000478421,-0.032683602,-0.009388961,-0.003252365,-0.004830327
19290531,5/31/1929,6/30/1929,248.6837296,1479.049483,expensive,-0.004907674,-0.036138676,-0.011324648,-0.004009047,-0.004602481
19290630,6/30/1929,7/31/1929,252.0387706,1494.448618,expensive,-0.014372655,-0.04027772,-0.011446225,-0.003754014,-0.00456303
19290731,7/31/1929,8/31/1929,271.4094537,1622.133111,expensive,-0.02130682,-0.04093344,-0.013479707,-0.00403202,-0.004974662
19290831,8/31/1929,9/30/1929,286.9348463,1721.585856,expensive,-0.026473749,-0.030934077,-0.015062443,-0.004540361,-0.005556061
19290930,9/30/1929,10/31/1929,298.4648513,1790.881963,expensive,-0.03026234,-0.029232026,-0.016365654,-0.004870743,-0.005215844
19291031,10/31/1929,11/30/1929,266.9926981,1559.894941,expensive,-0.032765339,-0.030032325,-0.014246881,-0.002932495,-0.004140041
19291130,11/30/1929,12/31/1929,196.3994451,1060.064691,expensive,-0.012897602,-0.02154728,-0.008661403,0.001054904,-0.001726998
19291231,12/31/1929,1/31/1930,205.5100928,1113.961663,expensive,-0.020845893,-0.023495083,-0.009177108,0.000312304,-0.002300274
19300131,1/31/1930,2/28/1930,209.7991829,1133.210581,expensive,-0.018985844,-0.022544977,-0.009760133,0.000351108,-0.002455928
19300228,2/28/1930,3/31/1930,224.3454432,1222.397237,expensive,-0.01734081,-0.027452955,-0.011502691,-9.54E-05,-0.003124354
